,latitude,longitude,VHM0
26320,31.02083396911621,28.625001907348636,0.30900002
26321,31.02083396911621,28.666667938232425,0.34
26322,31.02083396911621,28.70833396911621,0.35700002
26323,31.02083396911621,28.750001907348636,0.36800003
26324,31.02083396911621,28.791667938232425,0.37600002
26325,31.02083396911621,28.83333396911621,0.38200003
26326,31.02083396911621,28.875001907348636,0.388
26327,31.02083396911621,28.916667938232425,0.39400002
26328,31.02083396911621,28.95833396911621,0.39900002
26329,31.02083396911621,29.000001907348636,0.404
26330,31.02083396911621,29.041667938232425,0.409
26331,31.02083396911621,29.08333396911621,0.41500002
26332,31.02083396911621,29.125001907348636,0.42000002
26333,31.02083396911621,29.166667938232425,0.42600003
26334,31.02083396911621,29.20833396911621,0.432
26335,31.02083396911621,29.250001907348636,0.439
26336,31.02083396911621,29.291667938232425,0.446
26337,31.02083396911621,29.33333396911621,0.45200002
26338,31.02083396911621,29.375001907348636,0.45800003
26339,31.02083396911621,29.416667938232425,0.46100003
26340,31.02083396911621,29.45833396911621,0.46400002
26341,31.02083396911621,29.500001907348636,0.46400002
26342,31.02083396911621,29.541667938232425,0.45900002
26343,31.02083396911621,29.58333396911621,0.45100003
26534,31.0625,28.500001907348636,0.314
26535,31.0625,28.541667938232425,0.34100002
26536,31.0625,28.58333396911621,0.35500002
26537,31.0625,28.625001907348636,0.363
26538,31.0625,28.666667938232425,0.37
26539,31.0625,28.70833396911621,0.37500003
26540,31.0625,28.750001907348636,0.38000003
26541,31.0625,28.791667938232425,0.384
26542,31.0625,28.83333396911621,0.388
26543,31.0625,28.875001907348636,0.39200002
26544,31.0625,28.916667938232425,0.395
26545,31.0625,28.95833396911621,0.39900002
26546,31.0625,29.000001907348636,0.404
26547,31.0625,29.041667938232425,0.40800002
26548,31.0625,29.08333396911621,0.41200003
26549,31.0625,29.125001907348636,0.41700003
26550,31.0625,29.166667938232425,0.42100003
26551,31.0625,29.20833396911621,0.42700002
26552,31.0625,29.250001907348636,0.43300003
26553,31.0625,29.291667938232425,0.44000003
26554,31.0625,29.33333396911621,0.446
26555,31.0625,29.375001907348636,0.45200002
26556,31.0625,29.416667938232425,0.45700002
26557,31.0625,29.45833396911621,0.46
26558,31.0625,29.500001907348636,0.46400002
26559,31.0625,29.541667938232425,0.46800002
26560,31.0625,29.58333396911621,0.47000003
26561,31.0625,29.625001907348636,0.47300002
26562,31.0625,29.666667938232425,0.46100003
26738,31.10416603088379,27.95833396911621,0.374
26739,31.10416603088379,28.000001907348636,0.384
26740,31.10416603088379,28.041667938232425,0.39200002
26741,31.10416603088379,28.08333396911621,0.39600003
26742,31.10416603088379,28.125001907348636,0.39600003
26743,31.10416603088379,28.166667938232425,0.39400002
26744,31.10416603088379,28.20833396911621,0.39100003
26745,31.10416603088379,28.250001907348636,0.388
26746,31.10416603088379,28.291667938232425,0.38500002
26747,31.10416603088379,28.33333396911621,0.38300002
26748,31.10416603088379,28.375001907348636,0.38000003
26749,31.10416603088379,28.416667938232425,0.37800002
26750,31.10416603088379,28.45833396911621,0.37600002
26751,31.10416603088379,28.500001907348636,0.37300003
26752,31.10416603088379,28.541667938232425,0.37300003
26753,31.10416603088379,28.58333396911621,0.374
26754,31.10416603088379,28.625001907348636,0.37600002
26755,31.10416603088379,28.666667938232425,0.379
26756,31.10416603088379,28.70833396911621,0.38200003
26757,31.10416603088379,28.750001907348636,0.38500002
26758,31.10416603088379,28.791667938232425,0.38700002
26759,31.10416603088379,28.83333396911621,0.38900003
26760,31.10416603088379,28.875001907348636,0.39100003
26761,31.10416603088379,28.916667938232425,0.393
26762,31.10416603088379,28.95833396911621,0.39600003
26763,31.10416603088379,29.000001907348636,0.4
26764,31.10416603088379,29.041667938232425,0.40300003
26765,31.10416603088379,29.08333396911621,0.407
26766,31.10416603088379,29.125001907348636,0.411
26767,31.10416603088379,29.166667938232425,0.41500002
26768,31.10416603088379,29.20833396911621,0.42000002
26769,31.10416603088379,29.250001907348636,0.42600003
26770,31.10416603088379,29.291667938232425,0.432
26771,31.10416603088379,29.33333396911621,0.439
26772,31.10416603088379,29.375001907348636,0.44500002
26773,31.10416603088379,29.416667938232425,0.45000002
26774,31.10416603088379,29.45833396911621,0.45400003
26775,31.10416603088379,29.500001907348636,0.45800003
26776,31.10416603088379,29.541667938232425,0.46400002
26777,31.10416603088379,29.58333396911621,0.469
26778,31.10416603088379,29.625001907348636,0.47500002
26779,31.10416603088379,29.666667938232425,0.47700003
26780,31.10416603088379,29.70833396911621,0.47300002
26848,31.10416603088379,32.54166793823242,0.29700002
26849,31.10416603088379,32.583335876464844,0.344
26850,31.10416603088379,32.625,0.35500002
26851,31.10416603088379,32.66666793823242,0.358
26852,31.10416603088379,32.708335876464844,0.35900003
26853,31.10416603088379,32.75,0.35300002
26854,31.10416603088379,32.79166793823242,0.335
